IE,Ireland,CW,Carlow
IE,Ireland,CN,Cavan
IE,Ireland,CE,Clare
IE,Ireland,CK,Cork
IE,Ireland,DL,Donegal
IE,Ireland,DN,Dublin
IE,Ireland,GY,Galway
IE,Ireland,KY,Kerry
IE,Ireland,KE,Kildare
IE,Ireland,KK,Kilkenny
IE,Ireland,LS,Laois
IE,Ireland,LM,Leitrim
IE,Ireland,LK,Limerick
IE,Ireland,LD,Longford
IE,Ireland,LH,Louth
IE,Ireland,MO,Mayo
IE,Ireland,MH,Meath
IE,Ireland,MN,Monaghan
IE,Ireland,OY,Offaly
IE,Ireland,RN,Roscommon
IE,Ireland,SO,Sligo
IE,Ireland,TA,Tipperary
IE,Ireland,WD,Waterford
IE,Ireland,WH,Westmeath
IE,Ireland,WX,Wexford
IE,Ireland,WW,Wicklow
